be	was,were	been	Быть*
beat	beat	beaten	Колотить
become	became	become	Становиться
begin	began	begun	Начинать
bend	bent	bent	Гнуть
bet	bet	bet	Спорить
bite	bit	bitten	Кусать
blow	blew	blown	Дуть
break	broke	broken	Ломать
bring	brought	brought	Приносить
build	built	built	Строить
buy	bought	bought	Покупать
catch	caught	caught	Схватить
choose	chose	chosen	Выбирать
come	came	come	Приходить
cost	cost	cost	Обходиться
cut	cut	cut	Разрезать
deal	dealt	dealt	Распределять
dig	dug	dug	Копать
do	did	done	Делать
draw	drew	drawn	Рисовать
drink	drank	drunk	Пить
drive	drove	driven	Ездить
eat	ate	eaten	Есть
fall	fell	fallen	Падать
feed	fed	fed	Кормить
feel	felt	felt	Чувствовать
fight	fought	fought	Драться
find	found	found	Находить
fly	flew	flown	Летать
forget	forgot	forgotten Забывать
forgive	forgave	forgiven Прощать
freeze	froze	frozen	Замерзать
get	got	got	Получать
give	gave	given	Дать
go	went	gone	Идти
grow	grew	grown	Расти
hang	hung	hung	Вешать
have	had	had	Иметь
hear	heard	heard	Слышать
hide	hid	hidden	Прятать
hit	hit	hit	Поражать
hold	held	held	Задерживать
hurt	hurt	hurt	Ранить
keep	kept	kept	Сохранять
know	knew	known	Знать
lay	laid	laid	Положить
lead	led	led	Сопровождать
leave	left	left	Уходить
lend	lent	lent    Одалживать
let	let	let	Позволять
lie	lay	lain	Лежать
light	lit	lit	Светиться
lose	lost	lost	Лишаться
make	made	made	Изготавливать
mean	meant	meant	Подразумевать
meet	met	met	Знакомиться
pay	paid	paid	Оплачивать
put	put	put	Класть
read	read	read	Читать
ride	rode	ridden	Кататься
ring	rang	rung	Звенеть
rise	rose	risen	Восходить
run	ran	run	Бежать
say	said	said	Говорить
see	saw	seen	Видеть
seek	sought	sought	Искать
sell	sold	sold	Продавать
send	sent	sent	Посылать
set	set	set	Устанавливать
shake	shook	shaken	Встряхивать
shine	shone	shone	Сиять
shoot	shot	shot    Стрелять
show	showed	shown,showed	Показывать*
shut	shut	shut	Закрывать
sing	sang	sung	Петь
sink	sank	sunk	Тонуть
sit	sat	sat	Сидеть
sleep	slept	slept	Спать
speak	spoke	spoken	Говорить
spend	spent	spent	Тратить
stand	stood	stood	Стоять
steal	stole	stolen	Воровать
stick	stuck	stuck	Приклеивать
strike	struck	struck,stricken	Бить*
swear	swore	sworn	Клясться
sweep	swept	swept	Подметать
swim	swam	swum	Плавать
swing	swung	swung	Качаться
take	took	taken	Брать
teach	taught	taught	Учить
tear	tore	torn	Рвать
tell	told	told	Рассказывать
think	thought	thought	Думать
throw	threw	thrown	Метать
understand	understood	understood	Понимать
wake	woke	woken	Просыпаться
wear	wore	worn	Носить
win	won	won	Выиграть
write	wrote	written	Записывать
